Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
2900060B14Rik,2900060B14Rik,6.04E-01,8.32E-01,1.24E+00,1.24E+00,2.34E+01,1.88E+01
2900060N12Rik,2900060N12Rik,4.16E-04,?,2.25E-02,-4.45E+01,7.42E-01,3.30E+01
2900064K03Rik,2900064K03Rik,5.72E-01,?,3.44E-01,-2.91E+00,7.02E-01,2.04E+00
2900076A07Rik,2900076A07Rik,6.05E-01,8.32E-01,7.91E-01,-1.26E+00,2.09E+01,2.64E+01
2900076G11Rik,2900076G11Rik,2.05E-01,?,1.11E+01,1.11E+01,1.99E+00,1.79E-01
2900078I11Rik,2900078I11Rik,2.60E-02,1.74E-01,4.18E+00,4.18E+00,1.58E+01,3.77E+00
2900079G21Rik,2900079G21Rik,5.53E-01,?,5.09E-01,-1.97E+00,2.50E+00,4.91E+00
2900089D17Rik,2900089D17Rik,3.51E-02,2.05E-01,2.16E+00,2.16E+00,2.97E+01,1.38E+01
2900092N22Rik,2900092N22Rik,5.17E-01,?,5.47E-01,-1.83E+00,3.40E+00,6.22E+00
2900093K20Rik,2900093K20Rik,5.56E-01,?,5.67E-01,-1.76E+00,6.58E+00,1.16E+01
2900097C17Rik,2900097C17Rik,8.37E-02,3.32E-01,1.25E+00,1.25E+00,6.37E+03,5.10E+03
3000002C10Rik,3000002C10Rik,7.02E-01,?,7.27E-01,-1.38E+00,6.20E+00,8.53E+00
3010001F23Rik,3010001F23Rik,1.63E-01,?,3.69E-01,-2.71E+00,4.70E+00,1.28E+01
3010003L21Rik,3010003L21Rik,7.30E-01,?,7.22E-01,-1.38E+00,3.24E+00,4.49E+00
3100003L05Rik,3100003L05Rik,9.99E-01,?,9.95E-01,-1.00E+00,1.78E-01,1.79E-01
3110001I22Rik,3110001I22Rik,3.74E-01,6.80E-01,7.79E-01,-1.28E+00,1.09E+02,1.40E+02
3110006O06Rik,3110006O06Rik,8.38E-01,?,1.29E+00,1.29E+00,4.58E+00,3.57E+00
3110009E18Rik,3110009E18Rik,3.92E-01,6.94E-01,6.59E-01,-1.52E+00,2.12E+01,3.22E+01
3110009M11Rik,3110009M11Rik,8.88E-01,?,8.60E-01,-1.16E+00,9.24E+00,1.07E+01
3110018I06Rik,3110018I06Rik,7.14E-01,?,4.84E-01,-2.06E+00,4.92E-01,1.02E+00
3110021N24Rik,3110021N24Rik,8.25E-01,9.38E-01,1.10E+00,1.10E+00,3.94E+01,3.57E+01
3110031N09Rik,3110031N09Rik,3.23E-01,?,1.57E+01,1.57E+01,2.81E+00,1.79E-01
3110040N11Rik,3110040N11Rik,1.51E-01,4.44E-01,7.11E-01,-1.41E+00,1.06E+02,1.48E+02
3110045C21Rik,3110045C21Rik,5.48E-01,7.99E-01,1.42E+00,1.42E+00,2.15E+01,1.51E+01
3110053B16Rik,3110053B16Rik,7.83E-02,?,2.70E-01,-3.71E+00,5.21E+00,1.93E+01
3110056K07Rik,3110056K07Rik,4.58E-01,7.41E-01,1.25E+00,1.25E+00,1.24E+02,9.95E+01
3110062G12Rik,3110062G12Rik,9.04E-02,?,6.00E+00,6.00E+00,5.70E+00,9.50E-01
3110067C02Rik,3110067C02Rik,9.15E-01,?,8.74E-01,-1.14E+00,4.02E+00,4.59E+00
3110070M22Rik,3110070M22Rik,6.62E-01,8.61E-01,1.32E+00,1.32E+00,1.20E+01,9.10E+00
3110080E11Rik,3110080E11Rik,7.91E-03,8.63E-02,6.74E+00,6.74E+00,2.37E+01,3.52E+00
3110080O07Rik,3110080O07Rik,3.85E-01,6.88E-01,1.44E+00,1.44E+00,1.89E+01,1.31E+01
3110082I17Rik,3110082I17Rik,3.03E-01,6.18E-01,1.24E+00,1.24E+00,2.25E+02,1.81E+02
3110083C13Rik,3110083C13Rik,7.62E-01,?,5.05E-01,-1.98E+00,1.55E+00,3.07E+00
3110099E03Rik,3110099E03Rik,9.42E-01,?,1.13E+00,1.13E+00,1.62E+00,1.44E+00
3200001D21Rik,3200001D21Rik,5.55E-01,?,2.01E+00,2.01E+00,7.47E+00,3.71E+00
3222401L13Rik,3222401L13Rik,9.59E-01,9.86E-01,9.83E-01,-1.02E+00,4.03E+01,4.10E+01
3300002A11Rik,3300002A11Rik,1.50E-01,?,1.42E+01,1.42E+01,2.54E+00,1.79E-01
3300002I08Rik,3300002I08Rik,6.70E-01,8.65E-01,8.63E-01,-1.16E+00,4.15E+01,4.82E+01
3300005D01Rik,3300005D01Rik,6.62E-01,8.61E-01,7.47E-01,-1.34E+00,1.17E+01,1.56E+01
3425401B19Rik,3425401B19Rik,3.84E-01,6.87E-01,1.26E+00,1.26E+00,1.23E+02,9.77E+01
3632454L22Rik,3632454L22Rik,7.32E-01,?,5.62E-01,-1.78E+00,2.01E+00,3.58E+00
3732407C23Rik,3732407C23Rik,3.89E-01,?,2.44E-01,-4.10E+00,1.25E+00,5.12E+00
3830403N18Rik,3830403N18Rik,5.35E-02,2.60E-01,4.85E-01,-2.06E+00,3.10E+01,6.40E+01
3830406C13Rik,3830406C13Rik,5.96E-02,2.77E-01,7.75E-01,-1.29E+00,2.61E+02,3.36E+02
3830408C21Rik,3830408C21Rik,2.64E-02,1.75E-01,3.99E-01,-2.51E+00,1.76E+01,4.42E+01
3830432H09Rik,3830432H09Rik,8.01E-01,9.27E-01,8.74E-01,-1.14E+00,1.66E+01,1.90E+01
3930402G23Rik,3930402G23Rik,5.85E-02,2.74E-01,2.45E+00,2.45E+00,4.34E+01,1.77E+01
4430402I18Rik,4430402I18Rik,5.26E-01,7.85E-01,8.13E-01,-1.23E+00,2.83E+01,3.48E+01
4631405J19Rik,4631405J19Rik,8.76E-03,9.14E-02,6.11E+00,6.11E+00,1.84E+01,3.00E+00
4631422I05Rik,4631422I05Rik,1.69E-01,?,1.78E-01,-5.61E+00,1.18E+00,6.64E+00
4632404H12Rik,4632404H12Rik,3.63E-02,2.10E-01,4.13E-01,-2.42E+00,2.32E+01,5.62E+01
4632404M16Rik,4632404M16Rik,6.05E-01,?,7.01E-01,-1.43E+00,9.42E+00,1.34E+01
4632411P08Rik,4632411P08Rik,7.98E-01,?,7.57E-01,-1.32E+00,4.21E+00,5.56E+00
4632415L05Rik,4632415L05Rik,7.21E-01,8.90E-01,9.03E-01,-1.11E+00,1.30E+02,1.44E+02
4632418H02Rik,4632418H02Rik,2.81E-01,6.00E-01,1.69E+00,1.69E+00,2.33E+01,1.37E+01
4632427E13Rik,4632427E13Rik,9.56E-03,9.57E-02,1.54E+00,1.54E+00,3.48E+02,2.26E+02
4632428C04Rik,4632428C04Rik,1.50E-01,?,3.83E-01,-2.61E+00,5.25E+00,1.37E+01
4632432E15Rik,4632432E15Rik,5.79E-01,?,1.91E+00,1.91E+00,5.92E+00,3.10E+00
4633401B06Rik,4633401B06Rik,9.39E-01,?,1.08E+00,1.08E+00,3.85E+00,3.56E+00
4731419I09Rik,4731419I09Rik,8.88E-01,9.60E-01,1.09E+00,1.09E+00,1.16E+01,1.07E+01
4732414G09Rik,4732414G09Rik,3.63E-01,?,5.29E-01,-1.89E+00,5.35E+00,1.01E+01
4732416N19Rik,4732416N19Rik,2.41E-01,5.57E-01,1.78E+00,1.78E+00,3.15E+01,1.77E+01
4732419C18Rik,4732419C18Rik,5.72E-01,?,2.25E+00,2.25E+00,5.62E+00,2.50E+00
4732440D04Rik,4732440D04Rik,3.01E-01,6.18E-01,1.17E+00,1.17E+00,1.84E+02,1.57E+02
4732463B04Rik,4732463B04Rik,3.14E-01,?,9.73E+00,9.73E+00,1.74E+00,1.79E-01
4732471J01Rik,4732471J01Rik,2.76E-01,5.94E-01,1.85E+00,1.85E+00,2.01E+01,1.08E+01
4732487G21Rik,4732487G21Rik,5.61E-01,8.06E-01,8.17E-01,-1.22E+00,3.36E+01,4.11E+01
4732491K20Rik,4732491K20Rik,1.42E-02,1.21E-01,4.28E-01,-2.34E+00,2.06E+01,4.82E+01
4732496C06Rik,4732496C06Rik,6.67E-01,8.64E-01,8.01E-01,-1.25E+00,1.77E+01,2.21E+01
4831440D22Rik,4831440D22Rik,3.90E-01,6.93E-01,6.25E-01,-1.60E+00,1.24E+01,1.98E+01
4833403J16Rik,4833403J16Rik,4.20E-02,?,1.92E+01,1.92E+01,3.52E+00,1.84E-01
4833405L11Rik,4833405L11Rik,3.87E-01,?,2.48E-01,-4.02E+00,2.06E+00,8.30E+00
4833407H14Rik,4833407H14Rik,9.51E-01,?,1.14E+00,1.14E+00,1.74E+00,1.53E+00
4833408A19Rik,4833408A19Rik,9.86E-01,?,1.01E+00,1.01E+00,4.97E+00,4.91E+00
4833411C07Rik,4833411C07Rik,7.96E-01,9.24E-01,1.10E+00,1.10E+00,4.53E+01,4.12E+01
4833412C05Rik,4833412C05Rik,2.95E-02,?,3.54E+01,3.54E+01,6.34E+00,1.79E-01
4833412C15Rik,4833412C15Rik,6.80E-01,8.71E-01,1.16E+00,1.16E+00,3.55E+01,3.05E+01
