Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
AC156021.1,AC156021.1,1.32E-02,?,3.02E-02,-3.31E+01,1.78E-01,5.89E+00
AC156032.1,AC156032.1,4.16E-01,?,2.45E+00,2.45E+00,4.78E+00,1.95E+00
AC156546.1,AC156546.1,9.48E-01,?,9.25E-01,-1.08E+00,2.23E+00,2.41E+00
AC159819.1,AC159819.1,7.59E-01,9.08E-01,1.05E+00,1.05E+00,8.81E+02,8.41E+02
AC160138.1,AC160138.1,2.54E-01,5.73E-01,6.78E-01,-1.47E+00,3.06E+01,4.52E+01
AC160336.1,AC160336.1,3.26E-02,1.98E-01,5.78E-01,-1.73E+00,1.11E+02,1.92E+02
AC160405.1,AC160405.1,2.23E-02,?,2.96E+01,2.96E+01,5.38E+00,1.82E-01
AC161520.1,AC161520.1,8.07E-01,?,1.54E+00,1.54E+00,3.58E+00,2.32E+00
AC161757.1,AC161757.1,5.16E-01,?,5.00E-01,-2.00E+00,3.15E+00,6.31E+00
AC163703.1,AC163703.1,9.20E-01,9.72E-01,9.75E-01,-1.03E+00,7.02E+01,7.20E+01
AC167036.1,AC167036.1,2.49E-01,5.66E-01,4.37E-01,-2.29E+00,2.46E+01,5.62E+01
AC167036.2,AC167036.2,3.40E-01,?,1.90E-01,-5.25E+00,7.01E-01,3.68E+00
AC169509.1,AC169509.1,6.83E-01,8.73E-01,1.08E+00,1.08E+00,1.89E+02,1.75E+02
AC174780.1,AC174780.1,3.15E-01,?,2.30E-01,-4.35E+00,1.09E+00,4.73E+00
AC241534.1,AC241534.1,4.35E-02,2.32E-01,3.14E-01,-3.19E+00,1.45E+01,4.61E+01
Acaa1a,Acaa1a,1.59E-01,4.55E-01,8.64E-01,-1.16E+00,6.14E+02,7.10E+02
Acaa1b,Acaa1b,8.57E-01,?,7.86E-01,-1.27E+00,3.87E+00,4.92E+00
Acaa2,Acaa2,4.25E-01,7.18E-01,9.02E-01,-1.11E+00,1.05E+03,1.17E+03
Acaca,Acaca,8.02E-01,9.27E-01,9.72E-01,-1.03E+00,1.15E+03,1.18E+03
Acacb,Acacb,5.37E-01,7.91E-01,1.16E+00,1.16E+00,4.55E+02,3.92E+02
Acad10,Acad10,3.99E-01,6.98E-01,1.23E+00,1.23E+00,7.20E+01,5.84E+01
Acad11,Acad11,9.94E-01,9.98E-01,1.00E+00,1.00E+00,2.44E+02,2.44E+02
Acad12,Acad12,7.12E-01,8.86E-01,9.10E-01,-1.10E+00,6.53E+01,7.17E+01
Acad8,Acad8,1.04E-02,1.01E-01,6.82E-01,-1.47E+00,1.69E+02,2.48E+02
Acad9,Acad9,5.29E-01,7.87E-01,9.12E-01,-1.10E+00,4.47E+02,4.91E+02
Acadl,Acadl,2.79E-01,5.98E-01,8.86E-01,-1.13E+00,1.50E+03,1.69E+03
Gm26704,Gm26704,1.22E-04,6.44E-03,2.23E-02,-4.49E+01,1.20E+00,5.38E+01
Acads,Acads,2.21E-01,5.34E-01,8.05E-01,-1.24E+00,4.72E+02,5.87E+02
Bco1,Bco1,7.41E-08,2.83E-05,4.83E-02,-2.07E+01,5.61E+00,1.16E+02
Acadvl,Acadvl,7.72E-01,9.15E-01,9.73E-01,-1.03E+00,1.15E+03,1.18E+03
Acan,Acan,9.73E-01,9.91E-01,1.03E+00,1.03E+00,1.21E+01,1.17E+01
Acap1,Acap1,1.84E-01,4.91E-01,2.51E+00,2.51E+00,9.61E+00,3.83E+00
Acap2,Acap2,4.14E-01,7.10E-01,1.07E+00,1.07E+00,3.13E+03,2.92E+03
Acap3,Acap3,8.97E-01,9.64E-01,1.02E+00,1.02E+00,1.09E+03,1.07E+03
Acat1,Acat1,1.19E-01,3.95E-01,8.24E-01,-1.21E+00,1.69E+03,2.05E+03
Acat2,Acat2,6.17E-01,8.39E-01,9.09E-01,-1.10E+00,1.48E+02,1.63E+02
Acat3,Acat3,8.70E-01,9.54E-01,1.08E+00,1.08E+00,5.80E+01,5.37E+01
Acbd3,Acbd3,7.41E-02,3.13E-01,1.22E+00,1.22E+00,2.39E+03,1.96E+03
Acbd4,Acbd4,3.01E-01,6.18E-01,8.19E-01,-1.22E+00,2.22E+02,2.71E+02
Acbd5,Acbd5,9.08E-01,9.68E-01,1.01E+00,1.01E+00,8.18E+02,8.07E+02
Acbd6,Acbd6,7.11E-01,8.85E-01,9.57E-01,-1.05E+00,2.92E+02,3.06E+02
Accs,Accs,2.05E-01,5.16E-01,6.74E-01,-1.48E+00,4.18E+01,6.20E+01
Acd,Acd,6.05E-01,8.32E-01,1.08E+00,1.08E+00,2.64E+02,2.43E+02
Ace,Ace,1.31E-02,1.16E-01,5.94E-01,-1.68E+00,2.38E+04,4.00E+04
Ace2,Ace2,1.36E-02,1.19E-01,3.03E-01,-3.30E+00,1.24E+01,4.08E+01
Acer1,Acer1,8.55E-01,?,7.77E-01,-1.29E+00,1.98E+00,2.54E+00
Acer2,Acer2,1.47E-01,4.39E-01,1.61E+00,1.61E+00,5.76E+01,3.58E+01
Acer3,Acer3,6.40E-02,2.88E-01,1.48E+00,1.48E+00,6.43E+02,4.33E+02
Ache,Ache,3.56E-01,6.64E-01,6.89E-01,-1.45E+00,3.14E+01,4.56E+01
Acin1,Acin1,9.73E-02,3.57E-01,1.17E+00,1.17E+00,5.02E+03,4.29E+03
S100a9,S100a9,2.91E-06,5.02E-04,1.45E+01,1.45E+01,1.00E+02,6.92E+00
Ackr2,Ackr2,1.05E-01,3.69E-01,7.07E-01,-1.41E+00,6.53E+02,9.24E+02
Ackr3,Ackr3,8.58E-01,9.50E-01,9.69E-01,-1.03E+00,9.56E+03,9.86E+03
Ackr4,Ackr4,7.87E-01,9.21E-01,9.17E-01,-1.09E+00,8.89E+01,9.69E+01
Acly,Acly,7.91E-01,9.22E-01,9.74E-01,-1.03E+00,3.22E+03,3.31E+03
Acmsd,Acmsd,7.90E-01,?,1.35E+00,1.35E+00,4.45E+00,3.30E+00
Aco1,Aco1,1.59E-01,4.56E-01,8.54E-01,-1.17E+00,9.19E+02,1.08E+03
Aco2,Aco2,2.23E-01,5.37E-01,8.94E-01,-1.12E+00,1.68E+03,1.88E+03
Gm42417,Gm42417,1.75E-04,7.99E-03,1.44E+01,1.44E+01,4.98E+01,3.45E+00
Acot1,Acot1,7.52E-01,9.05E-01,9.35E-01,-1.07E+00,9.50E+01,1.02E+02
Acot10,Acot10,9.91E-01,9.97E-01,9.97E-01,-1.00E+00,1.03E+02,1.03E+02
Acot11,Acot11,6.62E-02,2.94E-01,1.59E+00,1.59E+00,9.56E+01,6.02E+01
Acot12,Acot12,6.89E-02,?,7.47E+00,7.47E+00,7.08E+00,9.48E-01
Acot13,Acot13,3.72E-02,2.12E-01,6.88E-01,-1.45E+00,2.24E+02,3.26E+02
Acot2,Acot2,5.95E-02,2.76E-01,1.54E+00,1.54E+00,1.90E+02,1.24E+02
Acot3,Acot3,4.69E-01,?,3.58E-01,-2.79E+00,3.13E+00,8.73E+00
Acot4,Acot4,4.98E-01,7.66E-01,6.28E-01,-1.59E+00,1.31E+01,2.08E+01
Acot6,Acot6,2.23E-01,5.37E-01,7.09E-01,-1.41E+00,6.36E+01,8.97E+01
Acot7,Acot7,2.09E-01,5.21E-01,1.36E+00,1.36E+00,1.92E+02,1.41E+02
Acot8,Acot8,1.30E-01,4.11E-01,6.63E-01,-1.51E+00,6.37E+01,9.61E+01
Acot9,Acot9,1.68E-02,1.35E-01,7.46E-01,-1.34E+00,1.36E+03,1.82E+03
Acox1,Acox1,3.25E-01,6.38E-01,1.14E+00,1.14E+00,1.22E+03,1.07E+03
Acox2,Acox2,5.77E-01,?,5.02E-01,-1.99E+00,3.83E+00,7.64E+00
Acox3,Acox3,7.68E-01,9.13E-01,9.62E-01,-1.04E+00,4.86E+02,5.05E+02
Acp1,Acp1,9.35E-01,9.77E-01,1.01E+00,1.01E+00,5.27E+02,5.22E+02
Acp2,Acp2,1.91E-01,4.99E-01,8.64E-01,-1.16E+00,6.76E+02,7.82E+02
Acp4,Acp4,4.15E-01,?,2.73E+00,2.73E+00,3.86E+00,1.41E+00
Acp5,Acp5,5.68E-01,8.11E-01,8.72E-01,-1.15E+00,1.07E+02,1.23E+02
Acp6,Acp6,2.98E-01,6.15E-01,8.40E-01,-1.19E+00,1.33E+02,1.58E+02
Acpp,Acpp,2.05E-01,5.16E-01,5.04E-01,-1.98E+00,1.70E+01,3.37E+01
Acr,Acr,1.11E-02,?,3.60E+01,3.60E+01,6.44E+00,1.79E-01
Acrbp,Acrbp,9.95E-01,9.98E-01,1.00E+00,1.00E+00,4.71E+01,4.70E+01
Acrv1,Acrv1,5.34E-01,?,2.72E+00,2.72E+00,5.05E+00,1.86E+00
Acsbg1,Acsbg1,3.97E-01,6.97E-01,1.70E+00,1.70E+00,1.33E+02,7.81E+01
Acsbg3,Acsbg3,4.90E-01,?,1.80E+00,1.80E+00,1.21E+01,6.73E+00
Acsf2,Acsf2,5.99E-01,8.30E-01,9.22E-01,-1.09E+00,3.90E+02,4.23E+02
Acsf3,Acsf3,8.50E-01,9.47E-01,9.58E-01,-1.04E+00,1.02E+02,1.06E+02
Acsl1,Acsl1,8.57E-01,9.50E-01,9.76E-01,-1.02E+00,2.36E+02,2.42E+02
Acsl3,Acsl3,7.89E-01,9.21E-01,9.57E-01,-1.05E+00,7.19E+02,7.52E+02
Acsl4,Acsl4,5.10E-01,7.74E-01,1.14E+00,1.14E+00,1.70E+03,1.49E+03
Acsl5,Acsl5,4.18E-01,7.13E-01,9.13E-01,-1.10E+00,1.29E+03,1.42E+03
Acsl6,Acsl6,9.77E-02,3.58E-01,1.68E+00,1.68E+00,8.06E+01,4.78E+01
Acsm2,Acsm2,4.35E-01,?,2.28E-01,-4.38E+00,1.64E+00,7.17E+00
Acsm3,Acsm3,3.39E-01,?,3.00E-01,-3.33E+00,2.07E+00,6.87E+00
Acss1,Acss1,7.80E-01,9.19E-01,1.09E+00,1.09E+00,9.39E+01,8.63E+01
Acss2,Acss2,2.82E-01,6.01E-01,8.28E-01,-1.21E+00,2.03E+02,2.45E+02
Acss3,Acss3,1.57E-01,4.54E-01,7.35E-01,-1.36E+00,5.18E+02,7.05E+02
Acta1,Acta1,1.32E-01,4.14E-01,7.76E-01,-1.29E+00,3.20E+03,4.13E+03
Acta2,Acta2,7.27E-01,8.94E-01,1.20E+00,1.20E+00,1.90E+03,1.58E+03
Actb,Actb,4.38E-02,2.33E-01,1.18E+00,1.18E+00,5.96E+04,5.05E+04
Actbl2,Actbl2,2.30E-01,?,6.44E-02,-1.55E+01,2.94E-01,4.56E+00
Actb-ps1,Actb-ps1,5.15E-01,?,1.95E+00,1.95E+00,3.33E+00,1.70E+00
Actc1,Actc1,3.16E-02,1.95E-01,3.06E-01,-3.27E+00,1.48E+01,4.84E+01
Actg1,Actg1,2.82E-02,1.83E-01,1.24E+00,1.24E+00,1.95E+04,1.57E+04
Actg2,Actg2,9.55E-01,9.84E-01,1.03E+00,1.03E+00,3.81E+01,3.69E+01
Actg-ps1,Actg-ps1,8.60E-01,9.51E-01,1.11E+00,1.11E+00,1.01E+01,9.11E+00
Actl10,Actl10,4.03E-01,7.01E-01,1.59E+00,1.59E+00,1.22E+01,7.67E+00
Actl11,Actl11,4.43E-01,?,2.08E+00,2.08E+00,6.31E+00,3.04E+00
Actl6a,Actl6a,5.13E-01,7.76E-01,9.14E-01,-1.09E+00,3.81E+02,4.18E+02
Actl6b,Actl6b,1.51E-01,?,1.36E-01,-7.34E+00,7.46E-01,5.48E+00
Actl7a,Actl7a,1.37E-01,?,4.65E+00,4.65E+00,9.39E+00,2.02E+00
Actn1,Actn1,2.38E-01,5.54E-01,1.27E+00,1.27E+00,1.19E+03,9.33E+02
Gm49720,Gm49720,1.04E-04,5.88E-03,1.42E+01,1.42E+01,2.71E+01,1.91E+00
Actn3,Actn3,3.42E-03,5.09E-02,5.84E-01,-1.71E+00,6.24E+02,1.07E+03
Actn4,Actn4,9.60E-01,9.86E-01,1.00E+00,1.00E+00,5.65E+03,5.62E+03
Actr10,Actr10,6.77E-02,2.98E-01,8.12E-01,-1.23E+00,5.45E+02,6.70E+02
Actr1a,Actr1a,1.02E-01,3.64E-01,8.24E-01,-1.21E+00,1.30E+03,1.58E+03
Actr1b,Actr1b,9.64E-02,3.55E-01,8.40E-01,-1.19E+00,1.22E+03,1.45E+03
Actr2,Actr2,3.85E-01,6.89E-01,1.08E+00,1.08E+00,3.44E+03,3.20E+03
Actr3,Actr3,3.31E-01,6.44E-01,8.71E-01,-1.15E+00,4.35E+03,4.99E+03
Actr3b,Actr3b,6.20E-01,8.40E-01,8.57E-01,-1.17E+00,8.02E+01,9.35E+01
Actr3-ps,Actr3-ps,6.70E-01,8.65E-01,9.29E-01,-1.08E+00,5.16E+02,5.55E+02
Actr5,Actr5,6.19E-01,8.40E-01,9.18E-01,-1.09E+00,1.62E+02,1.77E+02
Actr6,Actr6,5.12E-03,6.59E-02,5.30E-01,-1.89E+00,5.35E+01,1.01E+02
Actr8,Actr8,1.67E-01,4.68E-01,7.66E-01,-1.31E+00,2.48E+02,3.23E+02
Actrt3,Actrt3,2.43E-01,?,7.56E+00,7.56E+00,3.75E+00,4.97E-01
Acvr1,Acvr1,2.64E-01,5.82E-01,8.97E-01,-1.12E+00,9.76E+02,1.09E+03
Acvr1b,Acvr1b,1.26E-02,1.13E-01,1.61E+00,1.61E+00,5.60E+02,3.48E+02
Acvr1c,Acvr1c,9.58E-01,?,9.42E-01,-1.06E+00,4.60E+00,4.88E+00
Acvr2a,Acvr2a,3.36E-01,6.48E-01,1.10E+00,1.10E+00,1.44E+03,1.31E+03
Acvr2b,Acvr2b,7.32E-01,8.95E-01,8.95E-01,-1.12E+00,5.49E+01,6.14E+01
Acvrl1,Acvrl1,9.23E-01,9.73E-01,9.89E-01,-1.01E+00,2.58E+03,2.60E+03
Acy1,Acy1,1.90E-01,4.98E-01,7.59E-01,-1.32E+00,1.11E+02,1.46E+02
Acy3,Acy3,2.57E-01,5.76E-01,7.62E-01,-1.31E+00,1.19E+02,1.57E+02
Acyp1,Acyp1,3.86E-01,6.89E-01,7.51E-01,-1.33E+00,2.91E+01,3.87E+01
Acyp2,Acyp2,2.74E-02,1.80E-01,6.70E-01,-1.49E+00,9.63E+01,1.44E+02
Ada,Ada,9.54E-01,9.84E-01,9.85E-01,-1.02E+00,2.34E+02,2.38E+02
Adal,Adal,9.78E-02,3.58E-01,7.14E-01,-1.40E+00,1.32E+02,1.85E+02
Adam10,Adam10,3.14E-01,6.27E-01,8.79E-01,-1.14E+00,1.24E+03,1.41E+03
Adam11,Adam11,5.38E-01,7.92E-01,1.24E+00,1.24E+00,2.67E+01,2.15E+01
Gm6963,Gm6963,2.73E-03,4.43E-02,1.41E+01,1.41E+01,1.39E+01,9.86E-01
Adam15,Adam15,9.62E-01,9.87E-01,1.01E+00,1.01E+00,1.42E+03,1.41E+03
Adam17,Adam17,9.45E-02,3.51E-01,8.75E-01,-1.14E+00,1.66E+03,1.90E+03
Adam19,Adam19,4.31E-01,7.24E-01,8.50E-01,-1.18E+00,2.07E+03,2.44E+03
Gm13351,Gm13351,2.45E-03,4.14E-02,1.40E+01,1.40E+01,2.09E+01,1.49E+00
Adam1b,Adam1b,7.19E-01,8.89E-01,1.27E+00,1.27E+00,1.80E+01,1.42E+01
Adam21,Adam21,9.48E-01,?,1.10E+00,1.10E+00,1.67E+00,1.52E+00
Adam22,Adam22,8.96E-01,9.64E-01,9.78E-01,-1.02E+00,5.38E+02,5.50E+02
Adam23,Adam23,8.14E-01,9.33E-01,9.49E-01,-1.05E+00,1.14E+03,1.20E+03
Adam26a,Adam26a,3.14E-01,?,1.54E-01,-6.50E+00,6.70E-01,4.36E+00
Adam28,Adam28,4.28E-01,?,2.11E-01,-4.75E+00,2.94E-01,1.39E+00
Gm16238,Gm16238,1.06E-04,5.95E-03,1.32E+01,1.32E+01,2.57E+01,1.95E+00
Adam32,Adam32,4.33E-01,?,6.15E-01,-1.63E+00,6.91E+00,1.12E+01
Adam33,Adam33,5.27E-01,7.85E-01,1.12E+00,1.12E+00,4.97E+02,4.44E+02
Adam4,Adam4,5.82E-01,8.20E-01,7.33E-01,-1.36E+00,8.47E+00,1.16E+01
Adam5,Adam5,5.24E-01,7.84E-01,8.34E-01,-1.20E+00,8.44E+01,1.01E+02
Adam7,Adam7,4.10E-01,?,1.97E-01,-5.06E+00,6.68E-01,3.38E+00
Adam8,Adam8,1.68E-01,4.68E-01,1.75E+00,1.75E+00,6.57E+01,3.75E+01
Gm45479,Gm45479,5.54E-04,1.63E-02,1.25E+01,1.25E+01,1.82E+01,1.46E+00
Adamdec1,Adamdec1,9.69E-01,?,1.05E+00,1.05E+00,2.94E+00,2.79E+00
Gm37827,Gm37827,2.39E-08,1.23E-05,1.23E+01,1.23E+01,6.05E+01,4.90E+00
Adamts10,Adamts10,6.53E-01,8.57E-01,1.05E+00,1.05E+00,9.04E+02,8.59E+02
Adamts12,Adamts12,4.20E-01,7.14E-01,1.11E+00,1.11E+00,2.79E+03,2.50E+03
Adamts13,Adamts13,7.79E-01,?,1.64E+00,1.64E+00,2.29E+00,1.39E+00
Adamts14,Adamts14,9.28E-01,9.75E-01,1.02E+00,1.02E+00,2.46E+02,2.41E+02
Adamts15,Adamts15,2.25E-01,5.39E-01,7.39E-01,-1.35E+00,7.15E+02,9.67E+02
Adamts16,Adamts16,1.78E-01,4.84E-01,4.74E-01,-2.11E+00,2.17E+02,4.58E+02
Adamts17,Adamts17,2.05E-02,1.51E-01,3.07E-01,-3.26E+00,7.14E+00,2.33E+01
Adamts18,Adamts18,6.94E-01,?,1.47E+00,1.47E+00,6.69E+00,4.53E+00
Adamts19,Adamts19,7.76E-01,9.16E-01,1.26E+00,1.26E+00,2.43E+01,1.92E+01
Adamts2,Adamts2,5.67E-01,8.10E-01,9.02E-01,-1.11E+00,6.45E+03,7.16E+03
Adamts20,Adamts20,2.38E-01,5.54E-01,1.35E+00,1.35E+00,7.49E+01,5.54E+01
Adamts3,Adamts3,9.55E-01,9.84E-01,1.01E+00,1.01E+00,2.72E+02,2.69E+02
Gm17546,Gm17546,1.28E-04,6.54E-03,1.20E+01,1.20E+01,2.32E+01,1.93E+00
Adamts5,Adamts5,1.61E-02,1.33E-01,6.60E-01,-1.52E+00,7.80E+03,1.18E+04
Adamts6,Adamts6,3.73E-02,2.12E-01,1.75E+00,1.75E+00,2.35E+02,1.34E+02
Gm42480,Gm42480,1.18E-04,6.39E-03,1.11E+01,1.11E+01,2.74E+01,2.48E+00
Adamts8,Adamts8,1.90E-02,1.44E-01,1.62E+00,1.62E+00,1.62E+02,1.00E+02
Adamts9,Adamts9,1.86E-01,4.94E-01,1.83E+00,1.83E+00,8.97E+02,4.91E+02
Adamtsl1,Adamtsl1,7.38E-01,8.99E-01,9.64E-01,-1.04E+00,4.00E+03,4.15E+03
Adamtsl2,Adamtsl2,4.21E-02,2.28E-01,4.04E-01,-2.48E+00,2.09E+02,5.17E+02
Gp9,Gp9,1.96E-03,3.62E-02,1.03E+01,1.03E+01,1.97E+01,1.92E+00
Adamtsl4,Adamtsl4,1.14E-01,3.87E-01,8.07E-01,-1.24E+00,1.70E+03,2.11E+03
Adamtsl5,Adamtsl5,9.48E-01,9.81E-01,1.01E+00,1.01E+00,5.40E+02,5.32E+02
Adap1,Adap1,7.89E-01,9.21E-01,9.16E-01,-1.09E+00,3.87E+01,4.23E+01
Adap2,Adap2,3.36E-01,6.48E-01,7.71E-01,-1.30E+00,1.02E+02,1.33E+02
Adap2os,Adap2os,8.19E-01,?,1.19E+00,1.19E+00,9.39E+00,7.88E+00
Adar,Adar,5.27E-01,7.85E-01,1.10E+00,1.10E+00,1.10E+03,1.00E+03
Adarb1,Adarb1,2.54E-01,5.73E-01,1.35E+00,1.35E+00,1.61E+03,1.19E+03
Adarb2,Adarb2,6.11E-01,?,6.11E-01,-1.64E+00,4.53E+00,7.42E+00
Adat1,Adat1,9.28E-01,9.75E-01,1.02E+00,1.02E+00,6.54E+01,6.41E+01
Adat2,Adat2,4.54E-01,7.39E-01,7.88E-01,-1.27E+00,6.84E+01,8.67E+01
Adat3,Adat3,4.85E-01,?,2.14E+00,2.14E+00,5.50E+00,2.57E+00
Adck1,Adck1,7.99E-01,9.25E-01,1.05E+00,1.05E+00,1.18E+02,1.12E+02
Adck2,Adck2,1.18E-01,3.93E-01,7.15E-01,-1.40E+00,1.83E+02,2.57E+02
Adck5,Adck5,3.76E-01,6.82E-01,8.26E-01,-1.21E+00,1.00E+02,1.21E+02
Adcy1,Adcy1,8.51E-01,9.48E-01,9.03E-01,-1.11E+00,4.74E+01,5.26E+01
Adcy10,Adcy10,9.29E-01,?,1.06E+00,1.06E+00,9.98E+00,9.40E+00
Adcy2,Adcy2,4.74E-02,2.44E-01,6.86E-01,-1.46E+00,2.97E+02,4.33E+02
Adcy3,Adcy3,4.04E-01,7.03E-01,1.16E+00,1.16E+00,7.50E+02,6.48E+02
Gm37818,Gm37818,7.49E-05,4.74E-03,1.02E+01,1.02E+01,3.17E+01,3.11E+00
Adcy5,Adcy5,9.50E-02,3.52E-01,1.27E+00,1.27E+00,9.41E+02,7.44E+02
Adcy6,Adcy6,5.17E-02,2.56E-01,1.19E+00,1.19E+00,1.30E+03,1.10E+03
Adcy7,Adcy7,1.22E-01,4.01E-01,1.36E+00,1.36E+00,1.42E+03,1.04E+03
Adcy8,Adcy8,1.26E-01,?,3.92E+00,3.92E+00,9.48E+00,2.42E+00
Adcy9,Adcy9,1.80E-02,1.40E-01,1.31E+00,1.31E+00,1.08E+03,8.26E+02
Adcyap1,Adcyap1,4.99E-01,?,2.63E-01,-3.80E+00,7.69E-01,2.92E+00
Adcyap1r1,Adcyap1r1,6.17E-01,8.39E-01,1.08E+00,1.08E+00,1.06E+03,9.79E+02
Add1,Add1,4.22E-01,7.16E-01,9.28E-01,-1.08E+00,5.60E+03,6.04E+03
Add2,Add2,9.54E-01,?,1.05E+00,1.05E+00,9.46E+00,9.03E+00
Add3,Add3,8.48E-01,9.47E-01,9.79E-01,-1.02E+00,1.01E+04,1.03E+04
Adgb,Adgb,5.91E-02,2.76E-01,3.18E-01,-3.14E+00,7.35E+00,2.31E+01
Adgra1,Adgra1,7.89E-01,9.21E-01,8.62E-01,-1.16E+00,1.85E+01,2.15E+01
Adgra2,Adgra2,7.56E-01,9.07E-01,1.05E+00,1.05E+00,1.21E+03,1.15E+03
Adgra3,Adgra3,7.11E-01,8.85E-01,9.58E-01,-1.04E+00,1.19E+03,1.24E+03
Adgrb1,Adgrb1,3.97E-01,?,4.64E-01,-2.16E+00,2.51E+00,5.42E+00
Adgrb2,Adgrb2,8.41E-01,9.44E-01,9.23E-01,-1.08E+00,2.51E+01,2.72E+01
Adgrb3,Adgrb3,6.32E-01,?,6.42E-01,-1.56E+00,9.52E+00,1.48E+01
Adgrd1,Adgrd1,7.64E-01,9.11E-01,1.05E+00,1.05E+00,9.21E+03,8.77E+03
Adgre1,Adgre1,3.39E-01,6.50E-01,1.34E+00,1.34E+00,1.53E+02,1.14E+02
Adgre4,Adgre4,5.13E-01,7.77E-01,1.42E+00,1.42E+00,2.24E+01,1.57E+01
Adgre5,Adgre5,4.38E-01,7.28E-01,1.12E+00,1.12E+00,7.58E+02,6.75E+02
Adgrf1,Adgrf1,9.59E-01,?,1.09E+00,1.09E+00,3.63E+00,3.34E+00
Adgrf2,Adgrf2,7.20E-01,?,1.47E+00,1.47E+00,3.49E+00,2.37E+00
Adgrf3,Adgrf3,3.91E-01,?,2.11E+00,2.11E+00,6.09E+00,2.88E+00
Adgrf4,Adgrf4,3.98E-01,?,4.44E-01,-2.25E+00,4.35E+00,9.78E+00
Adgrf5,Adgrf5,2.20E-01,5.34E-01,1.57E+00,1.57E+00,2.93E+03,1.87E+03
Adgrg1,Adgrg1,9.66E-02,3.55E-01,1.66E+00,1.66E+00,3.70E+02,2.23E+02
Adgrg2,Adgrg2,9.82E-01,9.94E-01,9.96E-01,-1.00E+00,3.91E+02,3.93E+02
Adgrg3,Adgrg3,1.43E-02,1.22E-01,5.14E+00,5.14E+00,1.77E+01,3.45E+00
Adgrg4,Adgrg4,4.24E-01,?,2.23E-01,-4.49E+00,1.14E+00,5.12E+00
Adgrg5,Adgrg5,3.72E-01,?,3.99E-01,-2.50E+00,1.71E+00,4.27E+00
Adgrg6,Adgrg6,6.43E-01,8.50E-01,8.62E-01,-1.16E+00,7.83E+01,9.08E+01
Gm13357,Gm13357,4.94E-06,7.59E-04,9.90E+00,9.90E+00,3.89E+01,3.93E+00
Adgrl2,Adgrl2,1.92E-01,5.01E-01,1.23E+00,1.23E+00,6.62E+02,5.39E+02
Adgrl3,Adgrl3,9.72E-01,9.91E-01,9.89E-01,-1.01E+00,7.18E+01,7.26E+01
Adgrl4,Adgrl4,5.11E-01,7.75E-01,1.22E+00,1.22E+00,4.47E+02,3.66E+02
Adgrv1,Adgrv1,8.94E-02,?,2.51E-01,-3.98E+00,5.10E+00,2.03E+01
Adh1,Adh1,1.14E-01,3.86E-01,1.33E+00,1.33E+00,4.91E+03,3.70E+03
Adh5,Adh5,2.29E-01,5.44E-01,8.71E-01,-1.15E+00,4.58E+02,5.25E+02
Adh6b,Adh6b,5.23E-01,?,4.45E-01,-2.25E+00,6.84E+00,1.54E+01
Adh6-ps1,Adh6-ps1,2.69E-01,?,1.69E-01,-5.93E+00,1.73E+00,1.02E+01
Adh7,Adh7,8.86E-02,3.40E-01,6.46E-01,-1.55E+00,2.38E+02,3.68E+02
Adhfe1,Adhfe1,7.79E-01,9.18E-01,9.24E-01,-1.08E+00,8.54E+01,9.24E+01
Adi1,Adi1,2.33E-01,5.48E-01,8.23E-01,-1.22E+00,1.62E+02,1.97E+02
Adig,Adig,8.63E-01,?,7.75E-01,-1.29E+00,1.97E+00,2.55E+00
Adipoq,Adipoq,8.32E-01,?,8.47E-01,-1.18E+00,8.44E+00,9.97E+00
Adipor1,Adipor1,6.53E-01,8.57E-01,1.05E+00,1.05E+00,1.75E+03,1.66E+03
Adipor2,Adipor2,8.16E-01,9.34E-01,9.71E-01,-1.03E+00,9.80E+02,1.01E+03
Adk,Adk,3.96E-01,6.97E-01,1.09E+00,1.09E+00,9.98E+02,9.16E+02
Adm,Adm,5.30E-01,7.87E-01,8.97E-01,-1.11E+00,2.21E+03,2.46E+03
Adnp,Adnp,5.12E-02,2.55E-01,1.48E+00,1.48E+00,4.77E+02,3.23E+02
Adnp2,Adnp2,4.14E-01,7.10E-01,1.11E+00,1.11E+00,5.51E+02,4.98E+02
Ado,Ado,4.77E-01,7.53E-01,1.13E+00,1.13E+00,4.78E+02,4.22E+02
Adora1,Adora1,9.92E-01,9.97E-01,1.01E+00,1.01E+00,1.60E+01,1.60E+01
Adora2a,Adora2a,7.83E-01,9.19E-01,8.99E-01,-1.11E+00,3.05E+01,3.40E+01
Adora2b,Adora2b,3.45E-02,2.04E-01,1.51E+00,1.51E+00,3.63E+02,2.41E+02
Adora3,Adora3,9.30E-02,?,2.47E-01,-4.05E+00,2.17E+00,8.80E+00
Adpgk,Adpgk,5.31E-01,7.88E-01,1.10E+00,1.10E+00,4.26E+02,3.89E+02
Adprh,Adprh,8.61E-02,3.36E-01,8.39E-01,-1.19E+00,1.36E+03,1.62E+03
Adprhl1,Adprhl1,7.20E-01,8.90E-01,1.12E+00,1.12E+00,3.14E+01,2.79E+01
Adprhl2,Adprhl2,3.82E-01,6.87E-01,8.58E-01,-1.17E+00,2.02E+02,2.36E+02
